name,price,brand,top_notes,middle_notes,base_notes,reviews,url
MISS ARMAF CHIC,"6,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/miss-armaf-chic/
MISS ARMAF DAZZLING,"6,200/=",,"Bergamot, Rose, Citruses, Pear and Pineapple","Jasmine, Gardenia and Pink Pepper","Vetiver, Amber, Vanilla, Sandalwood and Patchouli",No Reviews Available,https://middleeasternscents.co.ke/product/miss-armaf-dazzling/
MISS ARMAF GRANDEUR,"6,200/=",,"Bergamot, Rose and Floral Notes",Peach and Fruity Notes,"Amber, Musk and Patchouli",No Reviews Available,https://middleeasternscents.co.ke/product/miss-armaf-grandeur/
MISS ARMAF MYSTIQUE,"6,200/=",,"Bergamot, Orange, Pear and Tangerine","Strawberry, Vanilla, Rose, Passionfruit, Jasmine, Mimosa and Ylang Ylang","Patchouli, Coffee, Vetiver, Tonka Bean and Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/miss-armaf-mystique/
MISTY DAWN MUSK COLLECTION,"4,400/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/misty-dawn-musk-collection/
MODEST DEUX,"4,700/=",,"Top notes: Strawberry, Dark Chocolate, Cherry and Raspberry.<br>
Middle notes: Vanilla and Spices.<br>
Base notes: Patchouli, Gardenia and Musk.",Vanilla and Spices.,"Patchouli, Gardenia and Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/modest-deux/
MOHRA,"3,000/=",Unknown,"Top notes: Bergamot, Blood Orange, Lavender, Saffron.<br>
Middle notes: Rose, Black Pepper, Cashmeran.<br>
Base notes: Cedarwood, Patchouli, Sandalwood, Cistus Labdanum, Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mohra/
MOHRA SILKY ROSE,"3,000/=",,"Top notes: Fruity notes.<br>
Middle notes: Lemon, floral notes.<br>
Base notes: Jasmine, vanilla and white musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mohra-silky-rose/
MOHRA SILKY ROSE 200ML,500/=,,"Top notes: Fruity notes.<br>
Middle notes: Lemon, floral notes.<br>
Base notes: Jasmine, vanilla and white musk.","Lemon, floral notes.","Jasmine, vanilla and white musk.",No Reviews Available,https://middleeasternscents.co.ke/product/mohra-silky-rose-200ml/
MONTAIGNE VANILLE,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/montaigne-vanille/
MONTAIGNE VANILLE,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/montaigne-vanille-2/
MOUSUF,"2,200/=",,Top notes: Grape chocolaty scent,Middle notes: musky oud,Base notes: distinctive floral and caramel aroma,"1 REVIEW FOR MOUSUF
Rated 4 out of 5
online pharmacies in usa – October 21, 2023
Good post however I was wondering if you could write a litte more on this subject? I’d be very grateful if you could elaborate a little bit more. Thank you!
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/mousuf/
MOUSUF RAMADI,"2,200/=",,"Ard Al Zaafaran<br>
Top notes: bergamot, orange, lime.<br>
Middle notes: violet, nutmeg, pepper, cardamom.<br>
Base notes: oak, musk, amber",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mousuf-ramadi/
MOUSUF WARDI,"2,200/=",,"Top notes: Red Lychees, Rhubarb, Strawberries.<br>
Middle notes: Rose, Vanilla, Apple.<br>
Base notes: White Musk, Cashmeran.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mousuf-wardi/
MUGHAL FORT,"4,900/=",,"Top notes: Cardamom, Pimento.","Middle notes: Cedarwood, Caramel.","Base notes: Vanilla, Musk, Amber.",No Reviews Available,https://middleeasternscents.co.ke/product/mughal-fort/
MUGHAL FORT 20ML,"1,050/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/mughal-fort-2/
MUSAMAM,"5,000/=",,"Top notes: Italian mandarin orange, Lavender, Saffron.<br>
Middle notes: Egyptian geranium, Virginia cedar, Amberwood.<br>
Base notes: Somalian frankincense, Akigalawood, Cistus concrete.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/musamam/
MUSAMAM WHITE INTENSE,"5,500/=",LATTAFA PRIDE,"Musamam White Intense by Lattafa Perfumes is a fragrance for women and men. This is a new fragrance. Musamam White Intense was launched in 2023.  Bergamot, Orange and Spices; middle notes are Mahonial, Coconut, Ylang Ylang and Ambroxan; base notes are Sandalwood, Benzoin and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/musamam-white-intense/
MUSK AL TAHARA,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/musk-al-tahara/
MUSK COLLECTION POMEGRANATE,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/musk-collection-pomegranate/
MUSK COLLECTION TAHARA GIFT SET TAHARA VANILLA,"3,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/musk-collection-tahara-gift-set-tahara-vanilla/
MUSK MOOD,"2,100/=",Unknown,"Top notes: Citrus, Fruity Notes.<br>
Middle notes: Florals, Vanilla, White Musk.<br>
Base notes: White Musk, Sandalwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/musk-mood/
MY PARTY,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/my-party/
MYSTIQUE BOUQUET,"6,000/=",,"Top notes: White Peach, Mandarin Orange, Bergamot, Litchi.<br>
Middle notes: Orange Blossom, Vetiver, Mahonia, Peony.<br>
Base notes: Ambroxan, Musk, Vanilla, Oak Moss.","Orange Blossom, Vetiver, Mahonia, Peony.","Ambroxan, Musk, Vanilla, Oak Moss.",No Reviews Available,https://middleeasternscents.co.ke/product/mystique-bouquet/
NAJDIA,"2,000/=",,"Top notes: Lemon, Apple, Cinnamon, Lemongrass and Bergamot.<br>
Middle notes: Watery Notes, Cardamom, Lavender and Rosemary.<br>
Base notes: Amber, Musk, Tobacco, Cedar and Sandalwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/najdia/
NAJDIA TRIBUTE,"2,000/=",,"Top notes: Bergamot, Mandarin, Apple, Ginger.<br>
Middle notes: Violet Leaves, Saffron, Cedar Wood, Guaiac Wood.<br>
Base notes: Oud Wood, Sandalwood, Amber, Leather.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/najdia-tribute/
NARISSA POUDREE,"2,100/=",Unknown,"Jasmine, Bulgarian Rose and Orange Blossom",Not Available,"Coumarin, Cedar, Vetiver and Pat",No Reviews Available,https://middleeasternscents.co.ke/product/narissa-poudree/
NAYEL HER MAJESTY,"4,800/=",,"pear, cinnamon, mandarin<br>
Middle notes : solar, jasmin sambac, orange blossom<br>
Base notes : vanilla, coffee, patchouli",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/nayel-her-majesty/
NEBRAS,"4,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/nebras-2/
NEBRAS BODY SPRAY 250ML,600/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/nebras-body-spray-250ml/
NOIR D’ARABIE,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/noir-darabie/
NORTH STAG EXPRESSIONS IV QUARTE,"4,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/north-stag-expressions-iv-quarte/
ODYSSEY TYRANT,"6,300/=",ARMAF,"Top notes: Grape Fruit, Citrus Notes.<br>
Middle notes: Pepper, Lavender, Geranium, Elemi.<br>
Base notes: Vetiver, Cedar, Woody Notes/ Ambroxan.","Pepper, Lavender, Geranium, Elemi.","Vetiver, Cedar, Woody Notes/ Ambroxan.",No Reviews Available,https://middleeasternscents.co.ke/product/odyssey-tyrant/
OPERA NOIR,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/opera-noir/
OPHIDIAN BLACK CHERRY,"4,000/=",PARIS CORNER,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ophidian-black-cherry/
OPHIDIAN MANGO BLISS,"4,000/=",PARIS CORNER,"Top notes: Mango, Lemon, Ginger and Red Berries<br>
Middle notes: Woody Notes, Coumarin and Jasmine<br>
Base notes: Musk, Amber Oud and Cypriol Oil.","Woody Notes, Coumarin and Jasmine","Musk, Amber Oud and Cypriol Oil.",No Reviews Available,https://middleeasternscents.co.ke/product/ophidian-mango-bliss/
OPHIDIAN SWEET SURRENDER,"4,000/=",PARIS CORNER,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ophidian-sweet-surrender/
OPHYLIA,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ophylia/
OPHYLIA LEGEND,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ophylia-legend/
OPULENT MUSK,"2,500/=",,"Top notes: White Musk, Saffron and Lemon.<br>
Middle notes: White Flowers and Jasmine.<br>
Base notes: White Musk, Cedar, Amber, Fir Resin and Resin.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/opulent-musk/
OPULENT OUD,"2,500/=",LATTAFA,"Top notes: cardamom, figs, coconut, milk, black tea.<br>
Middle notes: iris, vetiver, jasmine.<br>
Base notes: amber, sandalwood, tonka bean, caramel, musk.","iris, vetiver, jasmine.","amber, sandalwood, tonka bean, caramel, musk.",No Reviews Available,https://middleeasternscents.co.ke/product/opulent-oud/
OPULENT RED,"2,500/=",,"Top notes: Peaches, Red Oranges, Cardamom, pink pepper.<br>
Middle notes: Rosewood, Cognac, Heliotrope, Jasmine, Tuberose.<br>
Base notes: Sandalwood, Oud, Cashmeran, Tonka Bean, Vanilla, Amber, Patchoulli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/opulent-red/
ORNAMENT POUR FEMME,"5,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ornament-pour-femme/
OUD 24 HOURS,"1,800/=",,"Top notes: Dark Chocolate, Mandarin Orange and Bergamot.<br>
Middle notes: Fruity Notes, Spicy Notes, Gardenia, Ylang-Ylang and Jasmine.<br>
Base notes: Patchouli, Agarwood (Oud), Sandalwood, Incense and Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oud-24-hours/
OUD 24 HOURS MAJESTIC GOLD,"1,900/=",Unknown,"Top notes: Black Orchid, Ylang-Ylang.<br>
Middle notes: Plum, Agarwood.<br>
Base notes: Oud, Patchouli, Citrus.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oud-24-hours-majestic-gold/
OUD MOOD,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oud-mood-by-lattafa/
OUD MOOD ELIXIR,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oud-mood-elixir/
OUD MOOD REMINISCENCE,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oud-mood-reminiscence/
OYUNY ATTAR 20ML,"2,000/=",AL HARAMAIN,"v Top notes: Rose, Pineapple, Bergamot",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oyuny-attar-20ml/
PEACE & LOVE,"5,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/peace-love/
PEAR POTION,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/pear-potion/
PHILOS ROSSO,"2,300/=",MAISON ALHAMBRA,"rose and saffron<br>
Middle notes are patchouli and cedar<br>
Base notes are musk and vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/philos-rosso/
PINK BREEZE,499/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/pink-breeze/
PINK MUSK,"2,550/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/pink-musk/
PRETTY PINK,520/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/pretty-pink/
PURE WHITE,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/pure-white/
PURPLE MUSK,"2,550/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/purple-musk/
QAA’ED,"2,500/=",,"Top notes: Cinnamon, Cardamom and Bergamot.","Middle notes: Saffron, Sandalwood, Cedar and Carnation.","Base notes: Vanilla, Amber, Agarwood (Oud) and Leather.",No Reviews Available,https://middleeasternscents.co.ke/product/qaaed/
QAA’ED AL SHABAAB,"2,500/=",,Top notes: Osmanthus and Ylang-Ylang.,Middle notes: Leather and Cedar.,Base notes: Agarwood (Oud) and Light Amber.,No Reviews Available,https://middleeasternscents.co.ke/product/qaaed-al-shabaab/
QADR,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/qadr/
QAED AL FURSAN,"2,500/=",,"Top notes: Wild berries, Birch Tar, Woodsy Notes, Apple and Bergamot.","Middle notes: Jasmine, Patchouli, Woodsy Notes, Rose and Floral Notes.","Base notes: Musk, Ambergris, Oakmoss and Vanilla.",No Reviews Available,https://middleeasternscents.co.ke/product/qaed-al-fursan/
QAED AL FURSAN AND QAED AL FURSAN UNLIMITED,"4,500/=",LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/qaed-al-fursan-and-qaed-al-fursan-unlimited/
QAED AL FURSAN UNLIMITED,"2,500/=",,"<b>Qaed Al Fursan Unlimited</b>&nbsp;by&nbsp;<b>Lattafa Perfumes</b>&nbsp;is a fragrance for women and men. This is a new fragrance.&nbsp;<b>Qaed Al Fursan Unlimited</b> was launched in 2022.  bergamot, raspberry, apple, black birch; middle notes are jasmine, patchouli, rose, floral and woody; base notes are ambergris, vanilla, oakmoss and rich musk","Floral, Jasmine, Patchouli, Rose, Woody","Ambergris, Oakmoss, Rich musk, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/qaed-al-fursan-unlimited-edp/
QASAMAT EBHAR,"6,000/=",,"Top notes: Lemon, Green apple.<br>
Middle notes: Lotus, Iris, Jasmine, Damask rose.<br>
Base notes: Vanilla, Praliné, Tonka bean, Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/qasamat-ebhar/
QIMAAH,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/qimaah-100ml-edp-by-lattafa/
QISSA DELICIOUS,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/qissa-delicious/
QISSA PINK,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/qissa/
RA’ED LUXE,"2,500/=",,"Top notes: Juniper, Pineapple, Watermelon, Pink Pepper, Silk tree blossom and Jasmine.<br>
Middle notes: Sage, Lavender, Cinnamon and Herbal Notes.<br>
Base notes: Amber, Vanilla, Vetiver, Ice, Tonka Bean, Sandalwood, Musk, Chestnut and Strawberry.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/raed-luxe/
RA’ED SILVER,"2,500/=",,"Top notes: Spices, Mandarin Orange and Citruses.<br>
Middle notes: Cinnamon, Cloves, Amber and Saffron.<br>
Base notes: Vanilla, Ambergris, Musk, Leather and Agarwood (Oud).",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/raed-silver/
RAGHBA,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/raghba/
RAGHBA FOR MAN,"1,900/=",,"Top notes: Lemon Verbena, Iris;",Middle notes: Violet Leaf;,"Base notes: Sandalwood, Ambergris, Leather, and Cedar.",No Reviews Available,https://middleeasternscents.co.ke/product/raghba-for-man/
RAMZ LATTAFA GOLD,"2,200/=",,"Top notes: Pineapple, Apple and Bergamot.<br>
Middle notes: Jasmine, Sandalwood, Patchouli and Guaiac Wood.<br>
Base notes: Musk, Agarwood (Oud), Amber, Vanilla and Ylang-Ylang.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ramz-lattafa-gold/
RAMZ SILVER,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ramz-silver-100-ml-by-lattafa/
RANIYA,"1,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/raniya-18ml/
RARE TIFFANY,"5,000/=",,"Top notes: Rose, Jasmine, Ylang-Ylang.<br>
Middle notes: Sandalwood, Vanilla, Musk.<br>
Base notes: Caramel, Ginger, Pink Pepper.","Sandalwood, Vanilla, Musk.","Caramel, Ginger, Pink Pepper.",No Reviews Available,https://middleeasternscents.co.ke/product/rare-tiffany/
RASHA OIL,"1,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rasha/
RAVE NOW SIGNATURE BLUE,"2,500/=",RAVE,"Top notes: Green Apple, Mandarin<br>
Middle notes: Rose, White Musk<br>
Base notes: Amber, Sandalwood, Cedarwood","Rose, White Musk","Amber, Sandalwood, Cedarwood",No Reviews Available,https://middleeasternscents.co.ke/product/rave-now-signature-blue/
RAVE NOW WHITE,"2,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rave-now-white/
RAVE NOW WOMAN,"2,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rave-now-woman/
RAVE SIGNATURE NIGHT,"2,500/=",RAVE,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rave-signature-night/
RAW HUMAN 20ML,900/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/raw-human-20ml/
RED VELVET,"3,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/10789/
REFILLABLE STANDARD PERFUME ATOMIZER BOTTLE,200/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/refillable-standard-perfume-atomizer-bottle/
REFILLABLE PERFUME ATOMIZER BOTTLE FULLY COVERED,600/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/refillable-perfume-atomizer-bottle-fully-covered/
REMAS 20ML,"1,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/remas-20ml/
RESALA,"13,500/=",,"Top notes:<br>
Tonka Beans: Resembles a blend of cinnamon and vanilla.<br>
Middle notes:<br>
Caramel: Sweet appetizing scent.<br>
Base notes:<br>
Oriental fragrances. Madagascar Vanilla: Scent resembling a mix of vanilla and cocoa",,,No Reviews Available,https://middleeasternscents.co.ke/product/resala/
REYNA POUR FEMME,"2,200/=",MAISON ALHAMBRA,"Mandarin Orange, Bergamot and Grapefruit; middle notes are Orange Blossom, Raspberry and Black Currant; base notes are Whipped Cream, Marshamallow, Musk and Ambrette (Musk Mallow).",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/reyna-pour-femme/
RIFAAQAT,"2,400/=",,"Black and Pink Pepper, Black Pepper, elemi and Pink Pepper<br>
Middle notes are Olibanum and Saffron<br>
Base notes are Bourbon Vanilla, Suede and Cedar.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rifaqaat/
RIFAAQAT ADORN,"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rifaaqat-adorn/
ROSE AND ROMANCE,"1,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rose-romance/
ROSE COUTURE,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rose-couture/
ROSE PETALS,"2,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rose-petals/
ROYAL AMBER,"5,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/royal-amber/
ROYAL MUSK,"11,000/=",,"Top notes: Lemon, Mint and White Flowers.","Middle notes: Ginger, Nutmeg, Jasmine and Lily-of-the-Valley.","Base notes: Rose, Musk, Sandalwood, Cedar and Patchouli.",No Reviews Available,https://middleeasternscents.co.ke/product/musk-collection/
RUA,"2,500/=",,"Litchi, Pear and Bergamot.<br>
Middle notes : Turkish Rose, Agarwood (Oud) and Incense.<br>
Base notes : Vanilla, Amber and Woody Notes.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rua/
RUMZ AL RASASI 9325 POUR LUI,"3,500/=",,"Top notes: Pineapple, Lime, Lemon, Bergamot, Black Pepper, Plum and Pear.","Middle notes: Jasmine, Freesia and Lily-of-the-Valley.","Base notes: Ambergris, Cedar, Leather, White Musk, Oakmoss and Patchouli.",No Reviews Available,https://middleeasternscents.co.ke/product/rumz-al-rasasi-9325-pour-lui/
RUMZ AL RASASI 9459 POUR LUI,"3,500/=",,"Top notes: Pink Pepper, elemi, Bergamot, Grapefruit, Mandarin Orange, Lemon, Ozonic notes, Coriander and Apple.","Middle notes: Lavender, Geranium, Heliotrope, Rose, Almond and Jasmine.","Base notes: Oak, Amber, Sandalwood, Vetiver, Moss, Cedar, Tonka Bean, Patchouli, Woody Notes and White Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/rumz-al-rasasi-9459-pour-lui/
SABAH AL WARD,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/sabah-al-ward/
SADAAT,"1,200/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/sadaat/
SAFWAAN L’AUTRE ÔUD,"3,000/=",,"Top notes: Ambergris, Rose.<br>
Middle notes: Spice Notes, Woody Notes.<br>
Base notes: Agar, Oud.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/safwaan-lautre-oud/
SAFWAAN L’AUTRE ÔUD,"2,600/=",,"Top notes: Ambergris, Rose.<br>
Middle notes: Spice Notes, Woody Notes.<br>
Base notes: Agar, Oud.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/safwaan-lautre-oud-2/
SAHEB,"2,400/=",,"Top notes: Bergamot, Pink Pepper, Geranium.<br>
Middle notes: Violet, Ambergris, Patchouli.<br>
Base notes: Oud Wood, Musk, Vanilla.<br>
Olfactive family: Spicy Woody","Violet, Ambergris, Patchouli.","Oud Wood, Musk, Vanilla.",No Reviews Available,https://middleeasternscents.co.ke/product/saheb/
SAKEENA,"3,500/=",,"The aroma unfolds with fresh, juicy tangerines and passionflowers. Top notes of orange blossom surround the heart notes of pure, bright red roses and raspberries for a rum sensuality. This complex fragrance is reminiscent of a grand antique tapestry with its rich texture. A warm and dark note of musk envelops the composition like a veil of night and complements the sweet vanilla base notes. This is how morning roses turn into a magnificent night garden. A wonderful aroma that lingers long after midnight…",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/sakeena/
SATWA,"2,100/=",Unknown,Top notes: Vanilla,Not Available,Base notes: Oud,No Reviews Available,https://middleeasternscents.co.ke/product/satwa/
SECRET LADY,299/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/secret-lady/
SEHR,"4,400/=",,"Bitter Almond and Cinnamon<br>
Middle notes are Pomarose, Akigalawood and Jasmine<br>
Base notes are Vanilla Absolute, Tonka Bean and Amber",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/sehr/
SENSUAL VANILLA,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/sensual-vanilla/
SHAGHAF MAN,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-man/
SHAGHAF MEN,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-men/
SHAGHAF OUD,"4,900/=",,"Top notes: Saffron.<br>
Middle notes: Agarwood (Oud) and Rose.<br>
Base notes: Agarwood (Oud), Praline and Vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-oud/
SHAGHAF OUD AHMAR LIMITED EDITION,"10,000/=",,"Top notes: Freesia, Peach, Iris, Bergamot and Melon.<br>
Middle notes: Tonka Bean, Rose, Amber and Apple.<br>
Base notes: Vanilla, Sandalwood, Cedar, Amber, Musk and Oud.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-oud-ahmar-limited-edition/
SHAGHAF OUD ELIXIR,"8,500/=",,"Top notes: Oud, Pink Pepper and Saffron.<br>
Middle notes: Praline, Oud, Rose and Sage.<br>
Base notes: Oud, Vanilla, Amber and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-oud-elixir/
SHAGHAF OUD TONKA LIMITED EDITION,"1,350/=",,"Top notes: Almond.<br>
Middle notes: Cinnamon, Tunisian Orange Blossom and Turkish Rose.<br>
Base notes: Tonka Bean, Vanilla and Amberwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-oud-tonka-limited-edition/
SHAGHAF OUD VANILLA TOFFEE,"8,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/vanilla-toffee/
SHAGHAF WOMEN,"3,000/=",,"Top notes: Lime and Lemon.<br>
Middle notes: Praline, Apple and Peony.<br>
Base notes: Musk and Cedar.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaghaf-women/
SHAHD,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shahd/
SHAHD BODY SPRAY 200ML,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shahd-body-spray-200ml/
SHAHEEN SILVER,"4,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shaheen-silver/
SHAMOOKH GOLD,"1,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shamookh-gold/
SHAMOUKH THAMEEN COLLECTION 30ML,"1,400/=",LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shamoukh-thameen-collection-30ml/
SHAMS AL EMARAT KHUSUSI,"2,000/=",,"Top notes: Mandarin Orange, Apple and Vanilla.<br>
Middle notes: Rose, Vanilla, Ylang-Ylang, Spices and Amber.<br>
Base notes: Sandalwood, Patchouli, Agarwood (Oud) and White Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ard-al-zaafaran/
SHEIKH AL SHUYUKH LUXE EDITION,"1,999/=",,"Top notes: Rose, Cinnamon and Saffron.<br>
Middle notes: Caramel and Patchouli.<br>
Base notes: Vanilla, Woodsy Notes, Amber and Ambroxan.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/sheikh-al-shuyukh-luxe-edition/
SHUHRAH POUR HOMME,"4,500/=",Unknown,"Top notes: Tomato Leaf, Freesia and Rose.<br>
Middle notes: Rose, Sandalwood, Jasmine and Cedar.<br>
Base notes: Leather, Agarwood (Oud), Oakmoss, Musk and Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/shuhrah-pour-homme/
