name,price,brand,top_notes,middle_notes,base_notes,reviews,url
AL HARAMAIN RAWAA,"2,900/=",,"Almond, Coffee","Jasmine, Orris, Tuberose","Cacao pod, Sandalwood, Tonka beans, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/al-haramain-rawaa/
AL JAWHARA,"6,300/=",,"Top notes: Pink Peppercorn, Davana.<br>
Middle notes: Cinnamon, Osmanthus, Plum Accord.<br>
Base notes: Labdanum, Ambroxan, Patchouli, Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-jawhara/
AL NASHAMA,"3,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-nashama/
AL NASHAMA CAPRICE,"3,900/=",,"Top notes: Bergamot, Lemon , Ginger , Cardamon",Not Available,"Amber, Patchouli, Vetiver , Cedarwood",No Reviews Available,https://middleeasternscents.co.ke/product/al-nashama-caprice/
AL NOBLE SAFEER,"2,600/=",,"Top notes: Artemisia, Bergamot.<br>
Middle notes: Herbs.<br>
Base notes: Cedar Nuts, Labdanum, Cumin, Patchouli, Incense, Juniper, Guaiac Wood.",Herbs.,"Cedar Nuts, Labdanum, Cumin, Patchouli, Incense, Juniper, Guaiac Wood.",No Reviews Available,https://middleeasternscents.co.ke/product/al-noble-safeer/
AL NOBLE WAZEER,"2,900/=",,"Top notes: Mint, Bitter Orange, Bergamot, Juniper.<br>
Middle notes: Iris, Dark Chocolate, Raspberries, Caramel, Pears.<br>
Base notes: Cedar, Sandalwood, Vetiver, Amber, Vanilla, Musk.","Iris, Dark Chocolate, Raspberries, Caramel, Pears.","Cedar, Sandalwood, Vetiver, Amber, Vanilla, Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/al-noble-wazeer/
AL QIAM SILVER,"4,500/=",,"Top notes: Grapefruit, Ginger.<br>
Middle notes: Ambrox, Sandalwood.<br>
Base notes: Vetiver, Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/al-qiam-silver/
AL WATANIAH ANWAN,"2,800/=",,"Top notes: Lavandin,Apple<br>
Middle notes: Caramel,Tuberose<br>
Base notes: Vanilla,Musky","Caramel,Tuberose","Vanilla,Musky",No Reviews Available,https://middleeasternscents.co.ke/product/al-wataniah-anwan/
AL WISAM DAY,"4,900/=",,"<strong>Top notes:</strong> Bergamot, Geranium and Lavender.","Middle notes: Rose, Sandalwood, Clary Sage and Cedar.","Base notes: Musk, Amber, Agarwood (Oud) and Oakmoss.",No Reviews Available,https://middleeasternscents.co.ke/product/al-wisam-day/
ALREHAB ELIXIR,520/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/alrehab-elixir/
AMBER OUD CARBON EDITION,"12,000/=",,"Top notes: Bergamot, Lavender and Rosemary.","Middle notes: Sea Notes, Geranium and Sage.","Base notes: Moss, Cedar, Vetiver and Amber.",No Reviews Available,https://middleeasternscents.co.ke/product/amber-oud-carbon-edition/
AMBER OUD GOLD EDITION 120ML,"15,500/=",,Top notes: Bergamot and Green Notes.,"Middle notes: Melon, Sweet Notes, Pineapple and Amber.","Base notes: Vanilla, Musk and Woody Notes.",No Reviews Available,https://middleeasternscents.co.ke/product/amber-oud-gold-edition-3/
AMBER OUD GOLD EDITION 60ML,"11,700/=",,"Top notes: Bergamot and Green Notes.<br>
Middle notes: Melon, Sweet Notes, Pineapple and Amber.<br>
Base notes: Vanilla, Musk and Woody Notes.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/amber-oud-gold-edition/
AMBER OUD TOBACCO EDITION,"11,500/=",AL HARAMAIN,"Top notes: Tobacco Leaf, Cinnamon, Black Pepper and Ginger.","Middle notes: Vanilla, Cloves, Star Anise, Cacao, Tonka Bean and Incense.","Base notes: Tobacco, Dried Fruits and Woodsy Notes.",No Reviews Available,https://middleeasternscents.co.ke/product/amber-oud-tobacco-edition-2/
AMBER OUD TOBACCO EDITION,"11,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/amber-oud-tobacco-edition/
AMBER ROUGE,"5,500/=",,"Top notes: Jasmine, Saffron.<br>
Middle notes: Amber wood, Ambergris.<br>
Base notes: Fir Resin, Cedarwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/amber-rouge/
